name;nominal_power;include;max_off_timedelta_min;threshold_ss;nominal_max_power
Blast_Chiller;1500;1;2.0;0.05;1750.0
Convection_Oven_1;7000;1;1.0;0.2;1750.0
Convection_Oven_2;7000;1;1.0;0.2;1750.0
Dish_Washer;4200;1;1.0;0.2;1750.0
Drinks_Refrigerator;500;1;0.5;0.2;1750.0
Dual_Fryer;5000;1;1.0;0.2;1750.0
Fish_Refrigerator;600;1;1.0;0.2;1750.0
Freezer;1000;1;0.5;0.2;1750.0
Garde_Manger_10;1000;1;1.0;0.2;1750.0
Garde_Manger_13;400;1;1.0;0.2;1750.0
Glass_Washer;1600;1;1.0;0.2;1750.0
Ice_Machine;400;1;1.0;0.2;1750.0
Infrared_Shelf;800;1;1.0;0.2;1750.0
Meat_Refrigerator;1000;1;1.0;0.2;1750.0
Mise_en_Place_14;850;1;1.0;0.2;1750.0
Salamander_1;3000;1;1.0;0.2;1750.0
Salamander_2;3000;1;1.0;0.2;1750.0
Vegetables_Refrigerator;800;1;1.0;0.2;1750.0
