first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3
2019-02-13 13:29:30+00:00;2019-02-13 14:58:00+00:00;0 days 01:28:30;slice(Timestamp('2019-02-13 13:29:30+0000', tz='UTC'), Timestamp('2019-02-13 14:58:00+0000', tz='UTC'), None);1;2
2019-02-13 15:05:00+00:00;2019-02-13 16:35:00+00:00;0 days 01:30:00;slice(Timestamp('2019-02-13 15:05:00+0000', tz='UTC'), Timestamp('2019-02-13 16:35:00+0000', tz='UTC'), None);1;2
2019-02-13 16:40:00+00:00;2019-02-13 17:08:30+00:00;0 days 00:28:30;slice(Timestamp('2019-02-13 16:40:00+0000', tz='UTC'), Timestamp('2019-02-13 17:08:30+0000', tz='UTC'), None);1;1
2019-02-13 18:42:00+00:00;2019-02-13 22:57:30+00:00;0 days 04:15:30;slice(Timestamp('2019-02-13 18:42:00+0000', tz='UTC'), Timestamp('2019-02-13 22:57:30+0000', tz='UTC'), None);1;1
2019-02-14 11:13:30+00:00;2019-02-14 13:39:30+00:00;0 days 02:26:00;slice(Timestamp('2019-02-14 11:13:30+0000', tz='UTC'), Timestamp('2019-02-14 13:39:30+0000', tz='UTC'), None);1;1
2019-02-14 13:48:30+00:00;2019-02-14 15:23:00+00:00;0 days 01:34:30;slice(Timestamp('2019-02-14 13:48:30+0000', tz='UTC'), Timestamp('2019-02-14 15:23:00+0000', tz='UTC'), None);1;2
2019-02-14 15:56:30+00:00;2019-02-14 15:59:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 15:56:30+0000', tz='UTC'), Timestamp('2019-02-14 15:59:00+0000', tz='UTC'), None);0;0
2019-02-14 16:19:00+00:00;2019-02-14 16:21:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 16:19:00+0000', tz='UTC'), Timestamp('2019-02-14 16:21:30+0000', tz='UTC'), None);0;0
2019-02-14 16:41:30+00:00;2019-02-14 16:43:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 16:41:30+0000', tz='UTC'), Timestamp('2019-02-14 16:43:30+0000', tz='UTC'), None);0;0
2019-02-14 17:03:00+00:00;2019-02-14 17:05:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 17:03:00+0000', tz='UTC'), Timestamp('2019-02-14 17:05:00+0000', tz='UTC'), None);0;0
2019-02-14 17:24:00+00:00;2019-02-14 17:26:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 17:24:00+0000', tz='UTC'), Timestamp('2019-02-14 17:26:00+0000', tz='UTC'), None);0;0
2019-02-14 17:45:30+00:00;2019-02-14 17:47:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 17:45:30+0000', tz='UTC'), Timestamp('2019-02-14 17:47:30+0000', tz='UTC'), None);0;0
2019-02-14 18:06:30+00:00;2019-02-14 18:08:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-14 18:06:30+0000', tz='UTC'), Timestamp('2019-02-14 18:08:30+0000', tz='UTC'), None);0;0
2019-02-14 18:18:30+00:00;2019-02-14 22:58:00+00:00;0 days 04:39:30;slice(Timestamp('2019-02-14 18:18:30+0000', tz='UTC'), Timestamp('2019-02-14 22:58:00+0000', tz='UTC'), None);1;1
2019-02-15 11:52:30+00:00;2019-02-15 13:53:30+00:00;0 days 02:01:00;slice(Timestamp('2019-02-15 11:52:30+0000', tz='UTC'), Timestamp('2019-02-15 13:53:30+0000', tz='UTC'), None);1;2
2019-02-15 14:14:00+00:00;2019-02-15 14:16:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 14:14:00+0000', tz='UTC'), Timestamp('2019-02-15 14:16:00+0000', tz='UTC'), None);0;0
2019-02-15 14:26:30+00:00;2019-02-15 14:28:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 14:26:30+0000', tz='UTC'), Timestamp('2019-02-15 14:28:30+0000', tz='UTC'), None);0;0
2019-02-15 14:38:30+00:00;2019-02-15 14:40:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 14:38:30+0000', tz='UTC'), Timestamp('2019-02-15 14:40:00+0000', tz='UTC'), None);0;0
2019-02-15 14:50:00+00:00;2019-02-15 14:52:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 14:50:00+0000', tz='UTC'), Timestamp('2019-02-15 14:52:00+0000', tz='UTC'), None);0;0
2019-02-15 15:02:30+00:00;2019-02-15 15:04:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 15:02:30+0000', tz='UTC'), Timestamp('2019-02-15 15:04:00+0000', tz='UTC'), None);0;0
2019-02-15 15:20:00+00:00;2019-02-15 15:21:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 15:20:00+0000', tz='UTC'), Timestamp('2019-02-15 15:21:30+0000', tz='UTC'), None);0;0
2019-02-15 15:40:00+00:00;2019-02-15 15:41:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 15:40:00+0000', tz='UTC'), Timestamp('2019-02-15 15:41:30+0000', tz='UTC'), None);0;0
2019-02-15 15:55:30+00:00;2019-02-15 15:57:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 15:55:30+0000', tz='UTC'), Timestamp('2019-02-15 15:57:00+0000', tz='UTC'), None);0;0
2019-02-15 16:16:00+00:00;2019-02-15 16:17:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 16:16:00+0000', tz='UTC'), Timestamp('2019-02-15 16:17:30+0000', tz='UTC'), None);0;0
2019-02-15 16:36:00+00:00;2019-02-15 16:37:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 16:36:00+0000', tz='UTC'), Timestamp('2019-02-15 16:37:30+0000', tz='UTC'), None);0;0
2019-02-15 16:56:00+00:00;2019-02-15 16:57:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 16:56:00+0000', tz='UTC'), Timestamp('2019-02-15 16:57:30+0000', tz='UTC'), None);0;0
2019-02-15 17:12:00+00:00;2019-02-15 17:14:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 17:12:00+0000', tz='UTC'), Timestamp('2019-02-15 17:14:00+0000', tz='UTC'), None);0;0
2019-02-15 17:30:00+00:00;2019-02-15 17:32:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 17:30:00+0000', tz='UTC'), Timestamp('2019-02-15 17:32:00+0000', tz='UTC'), None);0;0
2019-02-15 17:36:00+00:00;2019-02-15 20:35:30+00:00;0 days 02:59:30;slice(Timestamp('2019-02-15 17:36:00+0000', tz='UTC'), Timestamp('2019-02-15 20:35:30+0000', tz='UTC'), None);1;2
2019-02-15 21:02:30+00:00;2019-02-15 21:04:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 21:02:30+0000', tz='UTC'), Timestamp('2019-02-15 21:04:30+0000', tz='UTC'), None);0;0
