first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3
2019-02-13 13:35:30+00:00;2019-02-13 13:40:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 13:35:30+0000', tz='UTC'), Timestamp('2019-02-13 13:40:00+0000', tz='UTC'), None);0;2
2019-02-13 14:03:00+00:00;2019-02-13 14:19:30+00:00;0 days 00:16:30;slice(Timestamp('2019-02-13 14:03:00+0000', tz='UTC'), Timestamp('2019-02-13 14:19:30+0000', tz='UTC'), None);1;0
2019-02-13 17:00:00+00:00;2019-02-13 17:11:00+00:00;0 days 00:11:00;slice(Timestamp('2019-02-13 17:00:00+0000', tz='UTC'), Timestamp('2019-02-13 17:11:00+0000', tz='UTC'), None);1;2
2019-02-13 18:08:30+00:00;2019-02-13 18:32:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-13 18:08:30+0000', tz='UTC'), Timestamp('2019-02-13 18:32:00+0000', tz='UTC'), None);1;0
2019-02-13 18:37:00+00:00;2019-02-13 19:24:30+00:00;0 days 00:47:30;slice(Timestamp('2019-02-13 18:37:00+0000', tz='UTC'), Timestamp('2019-02-13 19:24:30+0000', tz='UTC'), None);1;0
2019-02-13 19:31:30+00:00;2019-02-13 21:08:00+00:00;0 days 01:36:30;slice(Timestamp('2019-02-13 19:31:30+0000', tz='UTC'), Timestamp('2019-02-13 21:08:00+0000', tz='UTC'), None);1;0
2019-02-14 10:23:00+00:00;2019-02-14 10:36:00+00:00;0 days 00:13:00;slice(Timestamp('2019-02-14 10:23:00+0000', tz='UTC'), Timestamp('2019-02-14 10:36:00+0000', tz='UTC'), None);1;2
2019-02-14 10:40:30+00:00;2019-02-14 12:10:30+00:00;0 days 01:30:00;slice(Timestamp('2019-02-14 10:40:30+0000', tz='UTC'), Timestamp('2019-02-14 12:10:30+0000', tz='UTC'), None);1;0
2019-02-14 12:58:30+00:00;2019-02-14 13:22:00+00:00;0 days 00:23:30;slice(Timestamp('2019-02-14 12:58:30+0000', tz='UTC'), Timestamp('2019-02-14 13:22:00+0000', tz='UTC'), None);1;0
2019-02-14 13:30:00+00:00;2019-02-14 13:52:00+00:00;0 days 00:22:00;slice(Timestamp('2019-02-14 13:30:00+0000', tz='UTC'), Timestamp('2019-02-14 13:52:00+0000', tz='UTC'), None);1;0
2019-02-14 14:20:30+00:00;2019-02-14 14:52:00+00:00;0 days 00:31:30;slice(Timestamp('2019-02-14 14:20:30+0000', tz='UTC'), Timestamp('2019-02-14 14:52:00+0000', tz='UTC'), None);1;0
2019-02-14 17:06:30+00:00;2019-02-14 17:23:00+00:00;0 days 00:16:30;slice(Timestamp('2019-02-14 17:06:30+0000', tz='UTC'), Timestamp('2019-02-14 17:23:00+0000', tz='UTC'), None);1;0
2019-02-14 18:00:30+00:00;2019-02-14 18:11:30+00:00;0 days 00:11:00;slice(Timestamp('2019-02-14 18:00:30+0000', tz='UTC'), Timestamp('2019-02-14 18:11:30+0000', tz='UTC'), None);1;0
2019-02-14 18:55:00+00:00;2019-02-14 22:22:00+00:00;0 days 03:27:00;slice(Timestamp('2019-02-14 18:55:00+0000', tz='UTC'), Timestamp('2019-02-14 22:22:00+0000', tz='UTC'), None);1;0
2019-02-15 10:00:30+00:00;2019-02-15 10:52:00+00:00;0 days 00:51:30;slice(Timestamp('2019-02-15 10:00:30+0000', tz='UTC'), Timestamp('2019-02-15 10:52:00+0000', tz='UTC'), None);1;0
2019-02-15 11:20:00+00:00;2019-02-15 12:03:00+00:00;0 days 00:43:00;slice(Timestamp('2019-02-15 11:20:00+0000', tz='UTC'), Timestamp('2019-02-15 12:03:00+0000', tz='UTC'), None);1;0
2019-02-15 12:16:30+00:00;2019-02-15 12:21:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-15 12:16:30+0000', tz='UTC'), Timestamp('2019-02-15 12:21:00+0000', tz='UTC'), None);1;2
2019-02-15 12:25:00+00:00;2019-02-15 12:41:00+00:00;0 days 00:16:00;slice(Timestamp('2019-02-15 12:25:00+0000', tz='UTC'), Timestamp('2019-02-15 12:41:00+0000', tz='UTC'), None);1;0
2019-02-15 12:57:30+00:00;2019-02-15 13:07:00+00:00;0 days 00:09:30;slice(Timestamp('2019-02-15 12:57:30+0000', tz='UTC'), Timestamp('2019-02-15 13:07:00+0000', tz='UTC'), None);1;0
2019-02-15 13:12:00+00:00;2019-02-15 13:17:00+00:00;0 days 00:05:00;slice(Timestamp('2019-02-15 13:12:00+0000', tz='UTC'), Timestamp('2019-02-15 13:17:00+0000', tz='UTC'), None);0;1
2019-02-15 13:21:00+00:00;2019-02-15 13:29:30+00:00;0 days 00:08:30;slice(Timestamp('2019-02-15 13:21:00+0000', tz='UTC'), Timestamp('2019-02-15 13:29:30+0000', tz='UTC'), None);0;1
2019-02-15 13:51:00+00:00;2019-02-15 14:11:30+00:00;0 days 00:20:30;slice(Timestamp('2019-02-15 13:51:00+0000', tz='UTC'), Timestamp('2019-02-15 14:11:30+0000', tz='UTC'), None);1;0
2019-02-15 15:49:30+00:00;2019-02-15 15:51:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-15 15:49:30+0000', tz='UTC'), Timestamp('2019-02-15 15:51:30+0000', tz='UTC'), None);0;1
2019-02-15 17:00:30+00:00;2019-02-15 17:31:30+00:00;0 days 00:31:00;slice(Timestamp('2019-02-15 17:00:30+0000', tz='UTC'), Timestamp('2019-02-15 17:31:30+0000', tz='UTC'), None);1;0
2019-02-15 18:11:30+00:00;2019-02-15 20:22:30+00:00;0 days 02:11:00;slice(Timestamp('2019-02-15 18:11:30+0000', tz='UTC'), Timestamp('2019-02-15 20:22:30+0000', tz='UTC'), None);1;0
2019-02-15 20:27:00+00:00;2019-02-15 21:26:30+00:00;0 days 00:59:30;slice(Timestamp('2019-02-15 20:27:00+0000', tz='UTC'), Timestamp('2019-02-15 21:26:30+0000', tz='UTC'), None);1;0
2019-02-15 21:31:00+00:00;2019-02-15 21:46:30+00:00;0 days 00:15:30;slice(Timestamp('2019-02-15 21:31:00+0000', tz='UTC'), Timestamp('2019-02-15 21:46:30+0000', tz='UTC'), None);1;0
2019-02-15 21:50:00+00:00;2019-02-15 21:59:30+00:00;0 days 00:09:30;slice(Timestamp('2019-02-15 21:50:00+0000', tz='UTC'), Timestamp('2019-02-15 21:59:30+0000', tz='UTC'), None);1;0
2019-02-15 22:03:30+00:00;2019-02-15 22:32:00+00:00;0 days 00:28:30;slice(Timestamp('2019-02-15 22:03:30+0000', tz='UTC'), Timestamp('2019-02-15 22:32:00+0000', tz='UTC'), None);1;0
2019-02-15 22:46:00+00:00;2019-02-15 22:54:00+00:00;0 days 00:08:00;slice(Timestamp('2019-02-15 22:46:00+0000', tz='UTC'), Timestamp('2019-02-15 22:54:00+0000', tz='UTC'), None);1;2
2019-02-15 22:57:30+00:00;2019-02-15 22:59:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-15 22:57:30+0000', tz='UTC'), Timestamp('2019-02-15 22:59:00+0000', tz='UTC'), None);0;1
2019-02-15 23:04:00+00:00;2019-02-15 23:13:00+00:00;0 days 00:09:00;slice(Timestamp('2019-02-15 23:04:00+0000', tz='UTC'), Timestamp('2019-02-15 23:13:00+0000', tz='UTC'), None);0;1
