first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_8
2019-02-14 14:35:00+00:00;2019-02-14 15:31:00+00:00;0 days 00:56:00;slice(Timestamp('2019-02-14 14:35:00+0000', tz='UTC'), Timestamp('2019-02-14 14:36:30+0000', tz='UTC'), None);1;6
2019-02-14 19:57:30+00:00;2019-02-14 20:56:30+00:00;0 days 00:59:00;slice(Timestamp('2019-02-14 19:57:30+0000', tz='UTC'), Timestamp('2019-02-14 20:04:00+0000', tz='UTC'), None);0;7
2019-02-14 21:20:30+00:00;2019-02-14 22:17:30+00:00;0 days 00:57:00;slice(Timestamp('2019-02-14 21:20:30+0000', tz='UTC'), Timestamp('2019-02-14 21:26:30+0000', tz='UTC'), None);0;7
2019-02-14 21:29:30+00:00;2019-02-14 21:53:30+00:00;0 days 00:24:00;slice(Timestamp('2019-02-14 21:29:30+0000', tz='UTC'), Timestamp('2019-02-14 21:53:30+0000', tz='UTC'), None);0;5
2019-02-14 22:32:30+00:00;2019-02-14 23:31:00+00:00;0 days 00:58:00;slice(Timestamp('2019-02-14 22:32:30+0000', tz='UTC'), Timestamp('2019-02-14 22:41:00+0000', tz='UTC'), None);0;1
2019-02-15 13:53:00+00:00;2019-02-15 15:19:30+00:00;0 days 01:27:00;slice(Timestamp('2019-02-15 13:53:00+0000', tz='UTC'), Timestamp('2019-02-15 14:00:00+0000', tz='UTC'), None);0;7
2019-02-15 16:02:30+00:00;2019-02-15 16:14:00+00:00;0 days 00:11:00;slice(Timestamp('2019-02-15 16:02:30+0000', tz='UTC'), Timestamp('2019-02-15 16:14:00+0000', tz='UTC'), None);0;1
2019-02-15 19:25:00+00:00;2019-02-15 21:42:30+00:00;0 days 02:18:00;slice(Timestamp('2019-02-15 19:25:00+0000', tz='UTC'), Timestamp('2019-02-15 19:31:00+0000', tz='UTC'), None);0;7
2019-02-15 22:03:30+00:00;2019-02-15 22:41:30+00:00;0 days 00:38:00;slice(Timestamp('2019-02-15 22:03:30+0000', tz='UTC'), Timestamp('2019-02-15 22:14:30+0000', tz='UTC'), None);0;1
2019-02-15 23:04:30+00:00;2019-02-15 23:34:30+00:00;0 days 00:30:00;slice(Timestamp('2019-02-15 23:04:30+0000', tz='UTC'), Timestamp('2019-02-15 23:06:00+0000', tz='UTC'), None);1;3
2019-02-16 14:26:30+00:00;2019-02-16 15:44:00+00:00;0 days 01:17:00;slice(Timestamp('2019-02-16 14:26:30+0000', tz='UTC'), Timestamp('2019-02-16 14:38:30+0000', tz='UTC'), None);0;7
2019-02-16 16:50:00+00:00;2019-02-16 16:58:00+00:00;0 days 00:08:00;slice(Timestamp('2019-02-16 16:50:00+0000', tz='UTC'), Timestamp('2019-02-16 16:58:00+0000', tz='UTC'), None);0;7
2019-02-16 19:30:00+00:00;2019-02-16 20:25:30+00:00;0 days 00:56:00;slice(Timestamp('2019-02-16 19:30:00+0000', tz='UTC'), Timestamp('2019-02-16 19:43:00+0000', tz='UTC'), None);0;1
