first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_8
2019-02-13 13:35:00+00:00;2019-02-13 13:36:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 13:35:00+0000', tz='UTC'), Timestamp('2019-02-13 13:36:00+0000', tz='UTC'), None);1;0
2019-02-13 13:47:30+00:00;2019-02-13 13:58:30+00:00;0 days 00:11:00;slice(Timestamp('2019-02-13 13:47:30+0000', tz='UTC'), Timestamp('2019-02-13 13:58:30+0000', tz='UTC'), None);0;1
2019-02-13 14:01:30+00:00;2019-02-13 14:03:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 14:01:30+0000', tz='UTC'), Timestamp('2019-02-13 14:03:00+0000', tz='UTC'), None);1;3
2019-02-13 14:16:30+00:00;2019-02-13 14:17:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 14:16:30+0000', tz='UTC'), Timestamp('2019-02-13 14:17:30+0000', tz='UTC'), None);1;0
2019-02-13 14:29:00+00:00;2019-02-13 14:45:30+00:00;0 days 00:16:30;slice(Timestamp('2019-02-13 14:29:00+0000', tz='UTC'), Timestamp('2019-02-13 14:45:30+0000', tz='UTC'), None);0;5
2019-02-13 15:00:00+00:00;2019-02-13 15:04:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 15:00:00+0000', tz='UTC'), Timestamp('2019-02-13 15:04:30+0000', tz='UTC'), None);0;7
2019-02-13 15:06:30+00:00;2019-02-13 15:07:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:06:30+0000', tz='UTC'), Timestamp('2019-02-13 15:07:30+0000', tz='UTC'), None);1;0
2019-02-13 15:22:30+00:00;2019-02-13 15:25:30+00:00;0 days 00:03:00;slice(Timestamp('2019-02-13 15:22:30+0000', tz='UTC'), Timestamp('2019-02-13 15:25:30+0000', tz='UTC'), None);1;4
2019-02-13 15:37:30+00:00;2019-02-13 15:38:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:37:30+0000', tz='UTC'), Timestamp('2019-02-13 15:38:30+0000', tz='UTC'), None);1;0
2019-02-13 15:51:30+00:00;2019-02-13 15:52:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:51:30+0000', tz='UTC'), Timestamp('2019-02-13 15:52:30+0000', tz='UTC'), None);1;0
2019-02-13 15:57:00+00:00;2019-02-13 16:06:00+00:00;0 days 00:09:00;slice(Timestamp('2019-02-13 15:57:00+0000', tz='UTC'), Timestamp('2019-02-13 16:06:00+0000', tz='UTC'), None);0;1
2019-02-13 16:13:00+00:00;2019-02-13 16:14:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 16:13:00+0000', tz='UTC'), Timestamp('2019-02-13 16:14:00+0000', tz='UTC'), None);1;0
2019-02-13 16:43:30+00:00;2019-02-13 16:44:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 16:43:30+0000', tz='UTC'), Timestamp('2019-02-13 16:44:30+0000', tz='UTC'), None);1;0
2019-02-13 16:50:00+00:00;2019-02-13 16:52:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 16:50:00+0000', tz='UTC'), Timestamp('2019-02-13 16:52:30+0000', tz='UTC'), None);1;2
2019-02-13 16:57:30+00:00;2019-02-13 16:59:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:57:30+0000', tz='UTC'), Timestamp('2019-02-13 16:59:00+0000', tz='UTC'), None);1;6
2019-02-13 17:10:30+00:00;2019-02-13 17:12:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 17:10:30+0000', tz='UTC'), Timestamp('2019-02-13 17:12:00+0000', tz='UTC'), None);1;3
2019-02-13 17:25:00+00:00;2019-02-13 17:26:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:25:00+0000', tz='UTC'), Timestamp('2019-02-13 17:26:00+0000', tz='UTC'), None);1;0
2019-02-13 17:29:00+00:00;2019-02-13 17:31:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 17:29:00+0000', tz='UTC'), Timestamp('2019-02-13 17:31:30+0000', tz='UTC'), None);1;4
2019-02-13 17:38:00+00:00;2019-02-13 17:39:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:38:00+0000', tz='UTC'), Timestamp('2019-02-13 17:39:00+0000', tz='UTC'), None);1;0
2019-02-13 17:51:00+00:00;2019-02-13 17:52:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:51:00+0000', tz='UTC'), Timestamp('2019-02-13 17:52:00+0000', tz='UTC'), None);1;0
2019-02-13 18:01:00+00:00;2019-02-13 18:03:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 18:01:00+0000', tz='UTC'), Timestamp('2019-02-13 18:03:30+0000', tz='UTC'), None);1;4
2019-02-13 18:06:30+00:00;2019-02-13 18:07:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 18:06:30+0000', tz='UTC'), Timestamp('2019-02-13 18:07:30+0000', tz='UTC'), None);1;0
2019-02-13 18:22:00+00:00;2019-02-13 18:23:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 18:22:00+0000', tz='UTC'), Timestamp('2019-02-13 18:23:00+0000', tz='UTC'), None);1;0
2019-02-13 18:35:30+00:00;2019-02-13 18:39:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 18:35:30+0000', tz='UTC'), Timestamp('2019-02-13 18:39:00+0000', tz='UTC'), None);1;4
2019-02-13 18:41:00+00:00;2019-02-13 18:45:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 18:41:00+0000', tz='UTC'), Timestamp('2019-02-13 18:45:00+0000', tz='UTC'), None);0;7
2019-02-13 18:50:30+00:00;2019-02-13 18:55:30+00:00;0 days 00:05:00;slice(Timestamp('2019-02-13 18:50:30+0000', tz='UTC'), Timestamp('2019-02-13 18:55:30+0000', tz='UTC'), None);0;7
2019-02-13 19:17:00+00:00;2019-02-13 19:18:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 19:17:00+0000', tz='UTC'), Timestamp('2019-02-13 19:18:30+0000', tz='UTC'), None);1;6
2019-02-13 19:21:00+00:00;2019-02-13 19:23:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 19:21:00+0000', tz='UTC'), Timestamp('2019-02-13 19:23:30+0000', tz='UTC'), None);1;4
2019-02-13 19:32:00+00:00;2019-02-13 19:39:00+00:00;0 days 00:07:00;slice(Timestamp('2019-02-13 19:32:00+0000', tz='UTC'), Timestamp('2019-02-13 19:39:00+0000', tz='UTC'), None);0;7
2019-02-13 19:45:00+00:00;2019-02-13 19:53:00+00:00;0 days 00:08:00;slice(Timestamp('2019-02-13 19:45:00+0000', tz='UTC'), Timestamp('2019-02-13 19:53:00+0000', tz='UTC'), None);0;7
2019-02-13 19:57:00+00:00;2019-02-13 20:01:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 19:57:00+0000', tz='UTC'), Timestamp('2019-02-13 20:01:00+0000', tz='UTC'), None);0;7
2019-02-13 20:03:30+00:00;2019-02-13 20:05:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 20:03:30+0000', tz='UTC'), Timestamp('2019-02-13 20:05:00+0000', tz='UTC'), None);1;6
2019-02-13 20:10:30+00:00;2019-02-13 20:15:30+00:00;0 days 00:05:00;slice(Timestamp('2019-02-13 20:10:30+0000', tz='UTC'), Timestamp('2019-02-13 20:15:30+0000', tz='UTC'), None);0;7
2019-02-13 20:18:30+00:00;2019-02-13 20:23:30+00:00;0 days 00:05:00;slice(Timestamp('2019-02-13 20:18:30+0000', tz='UTC'), Timestamp('2019-02-13 20:23:30+0000', tz='UTC'), None);0;7
2019-02-13 20:25:30+00:00;2019-02-13 20:39:30+00:00;0 days 00:14:00;slice(Timestamp('2019-02-13 20:25:30+0000', tz='UTC'), Timestamp('2019-02-13 20:39:30+0000', tz='UTC'), None);0;7
2019-02-13 20:43:00+00:00;2019-02-13 20:44:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 20:43:00+0000', tz='UTC'), Timestamp('2019-02-13 20:44:00+0000', tz='UTC'), None);1;0
2019-02-13 20:48:30+00:00;2019-02-13 20:51:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 20:48:30+0000', tz='UTC'), Timestamp('2019-02-13 20:51:00+0000', tz='UTC'), None);1;4
2019-02-13 20:52:30+00:00;2019-02-13 20:57:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 20:52:30+0000', tz='UTC'), Timestamp('2019-02-13 20:57:00+0000', tz='UTC'), None);0;7
2019-02-13 21:01:30+00:00;2019-02-13 21:10:30+00:00;0 days 00:09:00;slice(Timestamp('2019-02-13 21:01:30+0000', tz='UTC'), Timestamp('2019-02-13 21:10:30+0000', tz='UTC'), None);0;1
2019-02-13 21:22:30+00:00;2019-02-13 21:28:00+00:00;0 days 00:05:30;slice(Timestamp('2019-02-13 21:22:30+0000', tz='UTC'), Timestamp('2019-02-13 21:28:00+0000', tz='UTC'), None);1;4
2019-02-13 21:39:00+00:00;2019-02-13 21:48:30+00:00;0 days 00:09:30;slice(Timestamp('2019-02-13 21:39:00+0000', tz='UTC'), Timestamp('2019-02-13 21:48:30+0000', tz='UTC'), None);0;1
2019-02-13 21:52:30+00:00;2019-02-13 22:03:00+00:00;0 days 00:10:30;slice(Timestamp('2019-02-13 21:52:30+0000', tz='UTC'), Timestamp('2019-02-13 22:03:00+0000', tz='UTC'), None);0;1
2019-02-13 22:07:00+00:00;2019-02-13 22:11:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 22:07:00+0000', tz='UTC'), Timestamp('2019-02-13 22:11:30+0000', tz='UTC'), None);0;4
2019-02-13 22:19:30+00:00;2019-02-13 22:20:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 22:19:30+0000', tz='UTC'), Timestamp('2019-02-13 22:20:30+0000', tz='UTC'), None);1;0
2019-02-13 22:22:00+00:00;2019-02-13 22:24:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 22:22:00+0000', tz='UTC'), Timestamp('2019-02-13 22:24:30+0000', tz='UTC'), None);1;4
2019-02-13 22:27:30+00:00;2019-02-13 22:33:30+00:00;0 days 00:06:00;slice(Timestamp('2019-02-13 22:27:30+0000', tz='UTC'), Timestamp('2019-02-13 22:33:30+0000', tz='UTC'), None);0;7
2019-02-13 22:46:30+00:00;2019-02-13 22:47:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 22:46:30+0000', tz='UTC'), Timestamp('2019-02-13 22:47:30+0000', tz='UTC'), None);1;0
2019-02-13 22:52:00+00:00;2019-02-13 22:54:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-13 22:52:00+0000', tz='UTC'), Timestamp('2019-02-13 22:54:00+0000', tz='UTC'), None);1;2
2019-02-13 23:02:30+00:00;2019-02-13 23:04:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 23:02:30+0000', tz='UTC'), Timestamp('2019-02-13 23:04:00+0000', tz='UTC'), None);1;3
2019-02-13 23:20:30+00:00;2019-02-13 23:24:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 23:20:30+0000', tz='UTC'), Timestamp('2019-02-13 23:24:30+0000', tz='UTC'), None);1;4
2019-02-13 23:40:30+00:00;2019-02-13 23:41:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 23:40:30+0000', tz='UTC'), Timestamp('2019-02-13 23:41:30+0000', tz='UTC'), None);1;0
2019-02-13 23:53:30+00:00;2019-02-13 23:55:30+00:00;0 days 00:02:00;slice(Timestamp('2019-02-13 23:53:30+0000', tz='UTC'), Timestamp('2019-02-13 23:55:30+0000', tz='UTC'), None);1;2
2019-02-13 23:59:30+00:00;2019-02-14 00:01:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 23:59:30+0000', tz='UTC'), Timestamp('2019-02-14 00:01:00+0000', tz='UTC'), None);1;6
2019-02-14 00:19:00+00:00;2019-02-14 00:20:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-14 00:19:00+0000', tz='UTC'), Timestamp('2019-02-14 00:20:30+0000', tz='UTC'), None);1;3
2019-02-14 00:26:30+00:00;2019-02-14 00:29:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-14 00:26:30+0000', tz='UTC'), Timestamp('2019-02-14 00:29:00+0000', tz='UTC'), None);1;4
