first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_3;ALG_catch24_kmeans_5;ALG_catch24_kmeans_7;ALG_naive_kmeans_2;ALG_naive_kmeans_3;ALG_naive_kmeans_5;ALG_naive_kmeans_4;ALG_catch24_kmeans_2_r;ALG_catch24_kmeans_3_r;ALG_catch24_kmeans_5_r;ALG_catch24_kmeans_7_r
2019-02-13 14:01:00+00:00;2019-02-13 14:20:00+00:00;0 days 00:19:00;slice(Timestamp('2019-02-13 14:01:00+0000', tz='UTC'), Timestamp('2019-02-13 14:20:00+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-13 15:28:30+00:00;2019-02-13 15:35:30+00:00;0 days 00:07:00;slice(Timestamp('2019-02-13 15:28:30+0000', tz='UTC'), Timestamp('2019-02-13 15:35:30+0000', tz='UTC'), None);0;0;3;2;0;0;0;0;0;0;3;2
2019-02-13 15:37:00+00:00;2019-02-13 15:48:30+00:00;0 days 00:11:30;slice(Timestamp('2019-02-13 15:37:00+0000', tz='UTC'), Timestamp('2019-02-13 15:48:30+0000', tz='UTC'), None);0;0;3;2;0;0;0;0;0;0;3;2
2019-02-13 15:49:30+00:00;2019-02-13 18:28:00+00:00;0 days 02:38:30;slice(Timestamp('2019-02-13 15:49:30+0000', tz='UTC'), Timestamp('2019-02-13 18:28:00+0000', tz='UTC'), None);1;1;1;3;0;0;3;3;1;1;1;3
2019-02-13 19:59:00+00:00;2019-02-13 20:26:00+00:00;0 days 00:27:00;slice(Timestamp('2019-02-13 19:59:00+0000', tz='UTC'), Timestamp('2019-02-13 20:26:00+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-13 22:18:00+00:00;2019-02-13 22:48:00+00:00;0 days 00:30:00;slice(Timestamp('2019-02-13 22:18:00+0000', tz='UTC'), Timestamp('2019-02-13 22:48:00+0000', tz='UTC'), None);1;1;1;1;0;0;0;0;1;1;1;1
2019-02-14 00:43:30+00:00;2019-02-14 01:09:30+00:00;0 days 00:26:00;slice(Timestamp('2019-02-14 00:43:30+0000', tz='UTC'), Timestamp('2019-02-14 01:09:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
2019-02-14 02:45:30+00:00;2019-02-14 03:10:30+00:00;0 days 00:25:00;slice(Timestamp('2019-02-14 02:45:30+0000', tz='UTC'), Timestamp('2019-02-14 03:10:30+0000', tz='UTC'), None);1;2;0;4;0;0;0;0;1;2;0;4
2019-02-14 04:36:30+00:00;2019-02-14 05:01:30+00:00;0 days 00:25:00;slice(Timestamp('2019-02-14 04:36:30+0000', tz='UTC'), Timestamp('2019-02-14 05:01:30+0000', tz='UTC'), None);1;2;4;1;0;0;0;0;1;2;4;1
2019-02-14 06:25:00+00:00;2019-02-14 06:50:30+00:00;0 days 00:25:30;slice(Timestamp('2019-02-14 06:25:00+0000', tz='UTC'), Timestamp('2019-02-14 06:50:30+0000', tz='UTC'), None);1;2;0;1;0;0;0;0;1;2;0;1
