first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_7
2019-02-13 13:35:00+00:00;2019-02-13 13:42:00+00:00;0 days 00:07:00;slice(Timestamp('2019-02-13 13:35:00+0000', tz='UTC'), Timestamp('2019-02-13 13:42:00+0000', tz='UTC'), None);0;2
2019-02-13 13:51:00+00:00;2019-02-13 13:52:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 13:51:00+0000', tz='UTC'), Timestamp('2019-02-13 13:52:30+0000', tz='UTC'), None);1;3
2019-02-13 14:11:00+00:00;2019-02-13 14:12:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 14:11:00+0000', tz='UTC'), Timestamp('2019-02-13 14:12:30+0000', tz='UTC'), None);1;1
2019-02-13 14:21:30+00:00;2019-02-13 14:22:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 14:21:30+0000', tz='UTC'), Timestamp('2019-02-13 14:22:30+0000', tz='UTC'), None);1;0
2019-02-13 14:32:30+00:00;2019-02-13 14:36:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 14:32:30+0000', tz='UTC'), Timestamp('2019-02-13 14:36:30+0000', tz='UTC'), None);1;1
2019-02-13 14:52:30+00:00;2019-02-13 14:54:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 14:52:30+0000', tz='UTC'), Timestamp('2019-02-13 14:54:00+0000', tz='UTC'), None);1;1
2019-02-13 15:05:00+00:00;2019-02-13 15:06:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 15:05:00+0000', tz='UTC'), Timestamp('2019-02-13 15:06:30+0000', tz='UTC'), None);1;1
2019-02-13 15:15:30+00:00;2019-02-13 15:16:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:15:30+0000', tz='UTC'), Timestamp('2019-02-13 15:16:30+0000', tz='UTC'), None);1;0
2019-02-13 15:25:30+00:00;2019-02-13 15:27:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 15:25:30+0000', tz='UTC'), Timestamp('2019-02-13 15:27:00+0000', tz='UTC'), None);1;3
2019-02-13 15:38:30+00:00;2019-02-13 15:40:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 15:38:30+0000', tz='UTC'), Timestamp('2019-02-13 15:40:00+0000', tz='UTC'), None);1;3
2019-02-13 15:51:00+00:00;2019-02-13 15:52:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 15:51:00+0000', tz='UTC'), Timestamp('2019-02-13 15:52:30+0000', tz='UTC'), None);1;1
2019-02-13 16:04:00+00:00;2019-02-13 16:05:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 16:04:00+0000', tz='UTC'), Timestamp('2019-02-13 16:05:00+0000', tz='UTC'), None);1;0
2019-02-13 16:16:30+00:00;2019-02-13 16:18:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:16:30+0000', tz='UTC'), Timestamp('2019-02-13 16:18:00+0000', tz='UTC'), None);1;3
2019-02-13 16:29:00+00:00;2019-02-13 16:30:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:29:00+0000', tz='UTC'), Timestamp('2019-02-13 16:30:30+0000', tz='UTC'), None);1;3
2019-02-13 16:41:30+00:00;2019-02-13 16:43:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:41:30+0000', tz='UTC'), Timestamp('2019-02-13 16:43:00+0000', tz='UTC'), None);1;3
2019-02-13 16:47:00+00:00;2019-02-13 16:49:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 16:47:00+0000', tz='UTC'), Timestamp('2019-02-13 16:49:30+0000', tz='UTC'), None);1;6
2019-02-13 16:59:30+00:00;2019-02-13 17:16:30+00:00;0 days 00:17:00;slice(Timestamp('2019-02-13 16:59:30+0000', tz='UTC'), Timestamp('2019-02-13 17:16:30+0000', tz='UTC'), None);0;4
2019-02-13 17:22:00+00:00;2019-02-13 17:23:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 17:22:00+0000', tz='UTC'), Timestamp('2019-02-13 17:23:30+0000', tz='UTC'), None);1;3
2019-02-13 17:31:30+00:00;2019-02-13 17:33:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 17:31:30+0000', tz='UTC'), Timestamp('2019-02-13 17:33:00+0000', tz='UTC'), None);1;3
2019-02-13 17:39:00+00:00;2019-02-13 17:40:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 17:39:00+0000', tz='UTC'), Timestamp('2019-02-13 17:40:30+0000', tz='UTC'), None);1;3
2019-02-13 17:48:00+00:00;2019-02-13 17:49:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:48:00+0000', tz='UTC'), Timestamp('2019-02-13 17:49:00+0000', tz='UTC'), None);1;0
2019-02-13 17:56:30+00:00;2019-02-13 17:58:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 17:56:30+0000', tz='UTC'), Timestamp('2019-02-13 17:58:00+0000', tz='UTC'), None);1;1
2019-02-13 18:06:00+00:00;2019-02-13 18:07:30+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 18:06:00+0000', tz='UTC'), Timestamp('2019-02-13 18:07:30+0000', tz='UTC'), None);1;3
2019-02-13 18:15:30+00:00;2019-02-13 18:29:00+00:00;0 days 00:13:30;slice(Timestamp('2019-02-13 18:15:30+0000', tz='UTC'), Timestamp('2019-02-13 18:29:00+0000', tz='UTC'), None);0;2
2019-02-13 18:38:00+00:00;2019-02-13 18:39:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 18:38:00+0000', tz='UTC'), Timestamp('2019-02-13 18:39:00+0000', tz='UTC'), None);1;0
