first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_4;ALG_catch24_kmeans_3
2019-02-13 13:50:30+00:00;2019-02-13 13:54:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 13:50:30+0000', tz='UTC'), Timestamp('2019-02-13 13:54:30+0000', tz='UTC'), None);0;0
2019-02-13 14:17:00+00:00;2019-02-13 14:21:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 14:17:00+0000', tz='UTC'), Timestamp('2019-02-13 14:21:00+0000', tz='UTC'), None);0;0
2019-02-13 14:44:30+00:00;2019-02-13 14:48:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 14:44:30+0000', tz='UTC'), Timestamp('2019-02-13 14:48:00+0000', tz='UTC'), None);1;2
2019-02-13 15:12:00+00:00;2019-02-13 15:16:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 15:12:00+0000', tz='UTC'), Timestamp('2019-02-13 15:16:00+0000', tz='UTC'), None);0;0
2019-02-13 15:39:00+00:00;2019-02-13 15:43:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 15:39:00+0000', tz='UTC'), Timestamp('2019-02-13 15:43:00+0000', tz='UTC'), None);0;0
2019-02-13 16:06:30+00:00;2019-02-13 16:10:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 16:06:30+0000', tz='UTC'), Timestamp('2019-02-13 16:10:00+0000', tz='UTC'), None);1;2
2019-02-13 16:34:00+00:00;2019-02-13 16:37:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 16:34:00+0000', tz='UTC'), Timestamp('2019-02-13 16:37:30+0000', tz='UTC'), None);2;1
2019-02-13 17:01:00+00:00;2019-02-13 17:04:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 17:01:00+0000', tz='UTC'), Timestamp('2019-02-13 17:04:30+0000', tz='UTC'), None);1;2
2019-02-13 17:28:00+00:00;2019-02-13 17:32:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 17:28:00+0000', tz='UTC'), Timestamp('2019-02-13 17:32:00+0000', tz='UTC'), None);0;0
2019-02-13 17:51:00+00:00;2019-02-13 17:55:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 17:51:00+0000', tz='UTC'), Timestamp('2019-02-13 17:55:00+0000', tz='UTC'), None);0;0
2019-02-13 18:15:30+00:00;2019-02-13 18:19:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 18:15:30+0000', tz='UTC'), Timestamp('2019-02-13 18:19:30+0000', tz='UTC'), None);0;0
2019-02-13 18:44:00+00:00;2019-02-13 18:47:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 18:44:00+0000', tz='UTC'), Timestamp('2019-02-13 18:47:30+0000', tz='UTC'), None);1;2
2019-02-13 19:13:00+00:00;2019-02-13 19:16:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-13 19:13:00+0000', tz='UTC'), Timestamp('2019-02-13 19:16:30+0000', tz='UTC'), None);1;2
2019-02-13 19:36:30+00:00;2019-02-13 19:40:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 19:36:30+0000', tz='UTC'), Timestamp('2019-02-13 19:40:30+0000', tz='UTC'), None);2;1
2019-02-13 20:01:30+00:00;2019-02-13 20:06:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 20:01:30+0000', tz='UTC'), Timestamp('2019-02-13 20:06:00+0000', tz='UTC'), None);1;2
2019-02-13 20:28:30+00:00;2019-02-13 20:33:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 20:28:30+0000', tz='UTC'), Timestamp('2019-02-13 20:33:00+0000', tz='UTC'), None);0;0
2019-02-13 20:54:00+00:00;2019-02-13 20:58:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 20:54:00+0000', tz='UTC'), Timestamp('2019-02-13 20:58:30+0000', tz='UTC'), None);0;0
2019-02-13 21:22:00+00:00;2019-02-13 21:26:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 21:22:00+0000', tz='UTC'), Timestamp('2019-02-13 21:26:00+0000', tz='UTC'), None);0;0
2019-02-13 21:44:30+00:00;2019-02-13 21:49:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 21:44:30+0000', tz='UTC'), Timestamp('2019-02-13 21:49:00+0000', tz='UTC'), None);0;0
2019-02-13 22:12:00+00:00;2019-02-13 22:16:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 22:12:00+0000', tz='UTC'), Timestamp('2019-02-13 22:16:00+0000', tz='UTC'), None);1;2
2019-02-13 22:40:30+00:00;2019-02-13 22:44:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 22:40:30+0000', tz='UTC'), Timestamp('2019-02-13 22:44:30+0000', tz='UTC'), None);0;0
2019-02-13 23:09:30+00:00;2019-02-13 23:13:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 23:09:30+0000', tz='UTC'), Timestamp('2019-02-13 23:13:30+0000', tz='UTC'), None);0;0
2019-02-13 23:39:00+00:00;2019-02-13 23:43:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 23:39:00+0000', tz='UTC'), Timestamp('2019-02-13 23:43:00+0000', tz='UTC'), None);0;0
2019-02-14 00:09:30+00:00;2019-02-14 00:13:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 00:09:30+0000', tz='UTC'), Timestamp('2019-02-14 00:13:00+0000', tz='UTC'), None);1;2
2019-02-14 00:40:30+00:00;2019-02-14 00:44:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 00:40:30+0000', tz='UTC'), Timestamp('2019-02-14 00:44:30+0000', tz='UTC'), None);0;0
2019-02-14 01:12:00+00:00;2019-02-14 01:16:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 01:12:00+0000', tz='UTC'), Timestamp('2019-02-14 01:16:00+0000', tz='UTC'), None);0;0
2019-02-14 01:43:30+00:00;2019-02-14 01:47:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 01:43:30+0000', tz='UTC'), Timestamp('2019-02-14 01:47:30+0000', tz='UTC'), None);0;0
2019-02-14 02:15:00+00:00;2019-02-14 02:19:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 02:15:00+0000', tz='UTC'), Timestamp('2019-02-14 02:19:00+0000', tz='UTC'), None);0;0
2019-02-14 02:47:00+00:00;2019-02-14 02:51:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 02:47:00+0000', tz='UTC'), Timestamp('2019-02-14 02:51:00+0000', tz='UTC'), None);0;0
2019-02-14 03:18:30+00:00;2019-02-14 03:22:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 03:18:30+0000', tz='UTC'), Timestamp('2019-02-14 03:22:30+0000', tz='UTC'), None);0;0
2019-02-14 03:50:30+00:00;2019-02-14 03:54:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 03:50:30+0000', tz='UTC'), Timestamp('2019-02-14 03:54:30+0000', tz='UTC'), None);0;0
2019-02-14 04:22:30+00:00;2019-02-14 04:26:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 04:22:30+0000', tz='UTC'), Timestamp('2019-02-14 04:26:30+0000', tz='UTC'), None);0;0
2019-02-14 04:54:30+00:00;2019-02-14 04:58:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 04:54:30+0000', tz='UTC'), Timestamp('2019-02-14 04:58:30+0000', tz='UTC'), None);0;0
2019-02-14 05:26:30+00:00;2019-02-14 05:30:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 05:26:30+0000', tz='UTC'), Timestamp('2019-02-14 05:30:00+0000', tz='UTC'), None);1;2
2019-02-14 05:58:00+00:00;2019-02-14 06:02:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 05:58:00+0000', tz='UTC'), Timestamp('2019-02-14 06:02:00+0000', tz='UTC'), None);0;0
2019-02-14 06:30:00+00:00;2019-02-14 06:34:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 06:30:00+0000', tz='UTC'), Timestamp('2019-02-14 06:34:00+0000', tz='UTC'), None);0;0
2019-02-14 07:02:00+00:00;2019-02-14 07:06:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 07:02:00+0000', tz='UTC'), Timestamp('2019-02-14 07:06:00+0000', tz='UTC'), None);0;0
2019-02-14 07:34:00+00:00;2019-02-14 07:38:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 07:34:00+0000', tz='UTC'), Timestamp('2019-02-14 07:38:00+0000', tz='UTC'), None);0;0
2019-02-14 08:06:00+00:00;2019-02-14 08:09:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 08:06:00+0000', tz='UTC'), Timestamp('2019-02-14 08:09:30+0000', tz='UTC'), None);1;2
2019-02-14 08:37:30+00:00;2019-02-14 08:41:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 08:37:30+0000', tz='UTC'), Timestamp('2019-02-14 08:41:00+0000', tz='UTC'), None);1;2
2019-02-14 09:09:00+00:00;2019-02-14 09:12:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 09:09:00+0000', tz='UTC'), Timestamp('2019-02-14 09:12:30+0000', tz='UTC'), None);2;1
2019-02-14 09:40:00+00:00;2019-02-14 09:44:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 09:40:00+0000', tz='UTC'), Timestamp('2019-02-14 09:44:00+0000', tz='UTC'), None);0;0
2019-02-14 10:11:30+00:00;2019-02-14 10:15:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 10:11:30+0000', tz='UTC'), Timestamp('2019-02-14 10:15:00+0000', tz='UTC'), None);2;1
2019-02-14 10:39:30+00:00;2019-02-14 10:43:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 10:39:30+0000', tz='UTC'), Timestamp('2019-02-14 10:43:30+0000', tz='UTC'), None);0;0
2019-02-14 11:06:00+00:00;2019-02-14 11:10:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 11:06:00+0000', tz='UTC'), Timestamp('2019-02-14 11:10:00+0000', tz='UTC'), None);0;0
2019-02-14 11:36:30+00:00;2019-02-14 11:40:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 11:36:30+0000', tz='UTC'), Timestamp('2019-02-14 11:40:00+0000', tz='UTC'), None);2;1
2019-02-14 12:06:30+00:00;2019-02-14 12:10:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 12:06:30+0000', tz='UTC'), Timestamp('2019-02-14 12:10:30+0000', tz='UTC'), None);0;0
2019-02-14 12:36:30+00:00;2019-02-14 12:40:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 12:36:30+0000', tz='UTC'), Timestamp('2019-02-14 12:40:30+0000', tz='UTC'), None);0;0
2019-02-14 13:03:00+00:00;2019-02-14 13:06:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 13:03:00+0000', tz='UTC'), Timestamp('2019-02-14 13:06:30+0000', tz='UTC'), None);1;2
2019-02-14 13:31:30+00:00;2019-02-14 13:35:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 13:31:30+0000', tz='UTC'), Timestamp('2019-02-14 13:35:30+0000', tz='UTC'), None);1;2
2019-02-14 14:01:00+00:00;2019-02-14 14:05:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 14:01:00+0000', tz='UTC'), Timestamp('2019-02-14 14:05:00+0000', tz='UTC'), None);0;0
2019-02-14 14:31:00+00:00;2019-02-14 14:34:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 14:31:00+0000', tz='UTC'), Timestamp('2019-02-14 14:34:30+0000', tz='UTC'), None);1;2
2019-02-14 15:00:30+00:00;2019-02-14 15:04:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:00:30+0000', tz='UTC'), Timestamp('2019-02-14 15:04:00+0000', tz='UTC'), None);1;2
2019-02-14 15:30:00+00:00;2019-02-14 15:33:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:30:00+0000', tz='UTC'), Timestamp('2019-02-14 15:33:30+0000', tz='UTC'), None);1;2
2019-02-14 15:59:30+00:00;2019-02-14 16:03:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 15:59:30+0000', tz='UTC'), Timestamp('2019-02-14 16:03:00+0000', tz='UTC'), None);1;2
2019-02-14 16:29:00+00:00;2019-02-14 16:32:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 16:29:00+0000', tz='UTC'), Timestamp('2019-02-14 16:32:30+0000', tz='UTC'), None);1;2
2019-02-14 16:58:30+00:00;2019-02-14 17:02:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 16:58:30+0000', tz='UTC'), Timestamp('2019-02-14 17:02:30+0000', tz='UTC'), None);0;0
2019-02-14 17:28:30+00:00;2019-02-14 17:32:00+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 17:28:30+0000', tz='UTC'), Timestamp('2019-02-14 17:32:00+0000', tz='UTC'), None);1;2
2019-02-14 18:01:30+00:00;2019-02-14 18:05:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 18:01:30+0000', tz='UTC'), Timestamp('2019-02-14 18:05:30+0000', tz='UTC'), None);0;0
2019-02-14 18:31:00+00:00;2019-02-14 18:34:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 18:31:00+0000', tz='UTC'), Timestamp('2019-02-14 18:34:30+0000', tz='UTC'), None);2;1
2019-02-14 18:54:30+00:00;2019-02-14 18:58:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 18:54:30+0000', tz='UTC'), Timestamp('2019-02-14 18:58:30+0000', tz='UTC'), None);0;0
2019-02-14 19:22:30+00:00;2019-02-14 19:26:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 19:22:30+0000', tz='UTC'), Timestamp('2019-02-14 19:26:30+0000', tz='UTC'), None);2;1
2019-02-14 19:52:00+00:00;2019-02-14 19:56:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 19:52:00+0000', tz='UTC'), Timestamp('2019-02-14 19:56:00+0000', tz='UTC'), None);0;0
2019-02-14 20:21:30+00:00;2019-02-14 20:25:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 20:21:30+0000', tz='UTC'), Timestamp('2019-02-14 20:25:30+0000', tz='UTC'), None);0;0
2019-02-14 20:51:00+00:00;2019-02-14 20:55:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 20:51:00+0000', tz='UTC'), Timestamp('2019-02-14 20:55:00+0000', tz='UTC'), None);0;0
2019-02-14 21:17:00+00:00;2019-02-14 21:20:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-14 21:17:00+0000', tz='UTC'), Timestamp('2019-02-14 21:20:30+0000', tz='UTC'), None);1;2
2019-02-14 21:45:00+00:00;2019-02-14 21:49:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 21:45:00+0000', tz='UTC'), Timestamp('2019-02-14 21:49:00+0000', tz='UTC'), None);0;0
2019-02-14 22:10:00+00:00;2019-02-14 22:14:00+00:00;0 days 00:04:00;slice(Timestamp('2019-02-14 22:10:00+0000', tz='UTC'), Timestamp('2019-02-14 22:14:00+0000', tz='UTC'), None);0;0
