first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_3;ALG_catch24_kmeans_2
2019-02-13 15:51:30+00:00;2019-02-13 16:37:00+00:00;0 days 00:45:30;slice(Timestamp('2019-02-13 15:51:30+0000', tz='UTC'), Timestamp('2019-02-13 16:37:00+0000', tz='UTC'), None);0;1
2019-02-13 16:39:30+00:00;2019-02-13 16:43:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 16:39:30+0000', tz='UTC'), Timestamp('2019-02-13 16:43:30+0000', tz='UTC'), None);1;1
2019-02-13 16:46:30+00:00;2019-02-13 16:50:30+00:00;0 days 00:04:00;slice(Timestamp('2019-02-13 16:46:30+0000', tz='UTC'), Timestamp('2019-02-13 16:50:30+0000', tz='UTC'), None);2;0
2019-02-13 16:53:00+00:00;2019-02-13 16:57:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 16:53:00+0000', tz='UTC'), Timestamp('2019-02-13 16:57:30+0000', tz='UTC'), None);2;0
2019-02-13 17:00:00+00:00;2019-02-13 17:04:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 17:00:00+0000', tz='UTC'), Timestamp('2019-02-13 17:04:30+0000', tz='UTC'), None);2;0
2019-02-13 17:07:30+00:00;2019-02-13 17:12:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 17:07:30+0000', tz='UTC'), Timestamp('2019-02-13 17:12:00+0000', tz='UTC'), None);2;0
2019-02-13 17:14:00+00:00;2019-02-13 17:21:30+00:00;0 days 00:07:30;slice(Timestamp('2019-02-13 17:14:00+0000', tz='UTC'), Timestamp('2019-02-13 17:21:30+0000', tz='UTC'), None);2;0
2019-02-13 17:24:30+00:00;2019-02-13 17:29:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 17:24:30+0000', tz='UTC'), Timestamp('2019-02-13 17:29:00+0000', tz='UTC'), None);2;0
2019-02-13 17:31:30+00:00;2019-02-13 17:36:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 17:31:30+0000', tz='UTC'), Timestamp('2019-02-13 17:36:00+0000', tz='UTC'), None);2;0
2019-02-13 17:38:30+00:00;2019-02-13 17:43:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 17:38:30+0000', tz='UTC'), Timestamp('2019-02-13 17:43:00+0000', tz='UTC'), None);2;0
2019-02-13 17:45:30+00:00;2019-02-13 17:53:30+00:00;0 days 00:08:00;slice(Timestamp('2019-02-13 17:45:30+0000', tz='UTC'), Timestamp('2019-02-13 17:53:30+0000', tz='UTC'), None);1;1
