first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_4
2019-02-13 13:29:30+00:00;2019-02-13 15:10:00+00:00;0 days 01:40:30;slice(Timestamp('2019-02-13 13:29:30+0000', tz='UTC'), Timestamp('2019-02-13 15:10:00+0000', tz='UTC'), None);0;3
2019-02-13 15:15:00+00:00;2019-02-13 15:17:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-13 15:15:00+0000', tz='UTC'), Timestamp('2019-02-13 15:17:00+0000', tz='UTC'), None);1;2
2019-02-13 15:21:00+00:00;2019-02-13 15:22:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:21:00+0000', tz='UTC'), Timestamp('2019-02-13 15:22:00+0000', tz='UTC'), None);1;0
2019-02-13 15:28:30+00:00;2019-02-13 15:31:30+00:00;0 days 00:03:00;slice(Timestamp('2019-02-13 15:28:30+0000', tz='UTC'), Timestamp('2019-02-13 15:31:30+0000', tz='UTC'), None);1;2
2019-02-13 15:39:00+00:00;2019-02-13 15:41:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 15:39:00+0000', tz='UTC'), Timestamp('2019-02-13 15:41:30+0000', tz='UTC'), None);1;2
2019-02-13 15:45:30+00:00;2019-02-13 15:46:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 15:45:30+0000', tz='UTC'), Timestamp('2019-02-13 15:46:30+0000', tz='UTC'), None);1;0
2019-02-13 15:52:00+00:00;2019-02-13 15:55:00+00:00;0 days 00:03:00;slice(Timestamp('2019-02-13 15:52:00+0000', tz='UTC'), Timestamp('2019-02-13 15:55:00+0000', tz='UTC'), None);1;2
2019-02-13 15:57:00+00:00;2019-02-13 16:13:00+00:00;0 days 00:16:00;slice(Timestamp('2019-02-13 15:57:00+0000', tz='UTC'), Timestamp('2019-02-13 16:13:00+0000', tz='UTC'), None);0;1
2019-02-13 16:23:30+00:00;2019-02-13 16:25:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:23:30+0000', tz='UTC'), Timestamp('2019-02-13 16:25:00+0000', tz='UTC'), None);1;2
2019-02-13 16:27:00+00:00;2019-02-13 16:31:30+00:00;0 days 00:04:30;slice(Timestamp('2019-02-13 16:27:00+0000', tz='UTC'), Timestamp('2019-02-13 16:31:30+0000', tz='UTC'), None);0;1
2019-02-13 16:39:30+00:00;2019-02-13 16:40:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 16:39:30+0000', tz='UTC'), Timestamp('2019-02-13 16:40:30+0000', tz='UTC'), None);1;0
2019-02-13 16:45:00+00:00;2019-02-13 16:47:30+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 16:45:00+0000', tz='UTC'), Timestamp('2019-02-13 16:47:30+0000', tz='UTC'), None);1;2
2019-02-13 16:54:30+00:00;2019-02-13 16:56:00+00:00;0 days 00:01:30;slice(Timestamp('2019-02-13 16:54:30+0000', tz='UTC'), Timestamp('2019-02-13 16:56:00+0000', tz='UTC'), None);1;2
2019-02-13 17:03:00+00:00;2019-02-13 17:05:00+00:00;0 days 00:02:00;slice(Timestamp('2019-02-13 17:03:00+0000', tz='UTC'), Timestamp('2019-02-13 17:05:00+0000', tz='UTC'), None);1;2
2019-02-13 17:09:00+00:00;2019-02-13 17:10:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:09:00+0000', tz='UTC'), Timestamp('2019-02-13 17:10:00+0000', tz='UTC'), None);1;0
2019-02-13 17:18:30+00:00;2019-02-13 17:19:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:18:30+0000', tz='UTC'), Timestamp('2019-02-13 17:19:30+0000', tz='UTC'), None);1;0
2019-02-13 17:22:30+00:00;2019-02-13 17:25:00+00:00;0 days 00:02:30;slice(Timestamp('2019-02-13 17:22:30+0000', tz='UTC'), Timestamp('2019-02-13 17:25:00+0000', tz='UTC'), None);1;2
2019-02-13 17:34:30+00:00;2019-02-13 17:35:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-13 17:34:30+0000', tz='UTC'), Timestamp('2019-02-13 17:35:30+0000', tz='UTC'), None);1;0
2019-02-13 17:42:00+00:00;2019-02-14 01:04:00+00:00;0 days 07:22:00;slice(Timestamp('2019-02-13 17:42:00+0000', tz='UTC'), Timestamp('2019-02-14 01:04:00+0000', tz='UTC'), None);0;3
2019-02-14 01:06:30+00:00;2019-02-14 01:11:00+00:00;0 days 00:04:30;slice(Timestamp('2019-02-14 01:06:30+0000', tz='UTC'), Timestamp('2019-02-14 01:11:00+0000', tz='UTC'), None);0;1
