first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_2;ALG_catch24_kmeans_4
2019-02-13 13:29:30+00:00;2019-02-13 16:34:00+00:00;0 days 03:04:30;slice(Timestamp('2019-02-13 13:29:30+0000', tz='UTC'), Timestamp('2019-02-13 16:34:00+0000', tz='UTC'), None);1;0
2019-02-13 16:44:30+00:00;2019-02-13 21:57:30+00:00;0 days 05:13:00;slice(Timestamp('2019-02-13 16:44:30+0000', tz='UTC'), Timestamp('2019-02-13 21:57:30+0000', tz='UTC'), None);1;0
2019-02-14 11:50:00+00:00;2019-02-14 12:44:00+00:00;0 days 00:54:00;slice(Timestamp('2019-02-14 11:50:00+0000', tz='UTC'), Timestamp('2019-02-14 12:44:00+0000', tz='UTC'), None);1;3
2019-02-14 13:17:00+00:00;2019-02-14 13:47:30+00:00;0 days 00:30:30;slice(Timestamp('2019-02-14 13:17:00+0000', tz='UTC'), Timestamp('2019-02-14 13:47:30+0000', tz='UTC'), None);1;3
2019-02-14 17:22:30+00:00;2019-02-14 22:25:00+00:00;0 days 05:02:30;slice(Timestamp('2019-02-14 17:22:30+0000', tz='UTC'), Timestamp('2019-02-14 22:25:00+0000', tz='UTC'), None);1;0
2019-02-14 22:28:30+00:00;2019-02-14 23:07:30+00:00;0 days 00:39:00;slice(Timestamp('2019-02-14 22:28:30+0000', tz='UTC'), Timestamp('2019-02-14 23:07:30+0000', tz='UTC'), None);1;3
2019-02-15 13:14:00+00:00;2019-02-15 14:02:30+00:00;0 days 00:48:30;slice(Timestamp('2019-02-15 13:14:00+0000', tz='UTC'), Timestamp('2019-02-15 14:02:30+0000', tz='UTC'), None);1;3
2019-02-15 18:47:30+00:00;2019-02-15 23:01:00+00:00;0 days 04:13:30;slice(Timestamp('2019-02-15 18:47:30+0000', tz='UTC'), Timestamp('2019-02-15 23:01:00+0000', tz='UTC'), None);1;0
2019-02-16 13:46:00+00:00;2019-02-16 13:54:00+00:00;0 days 00:08:00;slice(Timestamp('2019-02-16 13:46:00+0000', tz='UTC'), Timestamp('2019-02-16 13:54:00+0000', tz='UTC'), None);1;3
2019-02-16 14:56:30+00:00;2019-02-16 15:11:00+00:00;0 days 00:14:30;slice(Timestamp('2019-02-16 14:56:30+0000', tz='UTC'), Timestamp('2019-02-16 15:11:00+0000', tz='UTC'), None);1;3
2019-02-16 17:16:00+00:00;2019-02-16 23:23:30+00:00;0 days 06:07:30;slice(Timestamp('2019-02-16 17:16:00+0000', tz='UTC'), Timestamp('2019-02-16 23:23:30+0000', tz='UTC'), None);1;0
2019-02-17 12:11:30+00:00;2019-02-17 14:42:00+00:00;0 days 02:30:30;slice(Timestamp('2019-02-17 12:11:30+0000', tz='UTC'), Timestamp('2019-02-17 14:42:00+0000', tz='UTC'), None);1;0
2019-02-17 18:16:30+00:00;2019-02-17 22:43:30+00:00;0 days 04:27:00;slice(Timestamp('2019-02-17 18:16:30+0000', tz='UTC'), Timestamp('2019-02-17 22:43:30+0000', tz='UTC'), None);1;0
2019-02-18 12:10:00+00:00;2019-02-18 15:47:00+00:00;0 days 03:37:00;slice(Timestamp('2019-02-18 12:10:00+0000', tz='UTC'), Timestamp('2019-02-18 15:47:00+0000', tz='UTC'), None);1;0
2019-02-18 16:12:30+00:00;2019-02-18 22:30:00+00:00;0 days 06:17:30;slice(Timestamp('2019-02-18 16:12:30+0000', tz='UTC'), Timestamp('2019-02-18 22:30:00+0000', tz='UTC'), None);1;0
2019-02-19 11:56:00+00:00;2019-02-19 22:41:30+00:00;0 days 10:45:30;slice(Timestamp('2019-02-19 11:56:00+0000', tz='UTC'), Timestamp('2019-02-19 22:41:30+0000', tz='UTC'), None);1;0
2019-02-20 11:44:00+00:00;2019-02-20 12:22:30+00:00;0 days 00:38:30;slice(Timestamp('2019-02-20 11:44:00+0000', tz='UTC'), Timestamp('2019-02-20 12:22:30+0000', tz='UTC'), None);1;3
2019-02-20 17:53:00+00:00;2019-02-20 22:05:30+00:00;0 days 04:12:30;slice(Timestamp('2019-02-20 17:53:00+0000', tz='UTC'), Timestamp('2019-02-20 22:05:30+0000', tz='UTC'), None);1;0
2019-02-21 11:53:00+00:00;2019-02-21 12:17:00+00:00;0 days 00:24:00;slice(Timestamp('2019-02-21 11:53:00+0000', tz='UTC'), Timestamp('2019-02-21 12:17:00+0000', tz='UTC'), None);1;3
2019-02-21 13:30:00+00:00;2019-02-21 13:37:00+00:00;0 days 00:07:00;slice(Timestamp('2019-02-21 13:30:00+0000', tz='UTC'), Timestamp('2019-02-21 13:37:00+0000', tz='UTC'), None);1;3
2019-02-21 18:11:30+00:00;2019-02-21 22:04:30+00:00;0 days 03:53:00;slice(Timestamp('2019-02-21 18:11:30+0000', tz='UTC'), Timestamp('2019-02-21 22:04:30+0000', tz='UTC'), None);1;0
2019-02-22 11:48:30+00:00;2019-02-22 14:22:30+00:00;0 days 02:34:00;slice(Timestamp('2019-02-22 11:48:30+0000', tz='UTC'), Timestamp('2019-02-22 14:22:30+0000', tz='UTC'), None);1;0
2019-02-22 19:02:30+00:00;2019-02-22 21:42:30+00:00;0 days 02:40:00;slice(Timestamp('2019-02-22 19:02:30+0000', tz='UTC'), Timestamp('2019-02-22 21:42:30+0000', tz='UTC'), None);1;0
2019-02-23 12:55:00+00:00;2019-02-23 22:06:00+00:00;0 days 09:11:00;slice(Timestamp('2019-02-23 12:55:00+0000', tz='UTC'), Timestamp('2019-02-23 22:06:00+0000', tz='UTC'), None);1;0
2019-02-24 18:30:00+00:00;2019-02-24 22:03:30+00:00;0 days 03:33:30;slice(Timestamp('2019-02-24 18:30:00+0000', tz='UTC'), Timestamp('2019-02-24 22:03:30+0000', tz='UTC'), None);1;0
2019-02-25 11:52:00+00:00;2019-02-25 15:37:30+00:00;0 days 03:45:30;slice(Timestamp('2019-02-25 11:52:00+0000', tz='UTC'), Timestamp('2019-02-25 15:37:30+0000', tz='UTC'), None);1;0
2019-02-25 18:06:30+00:00;2019-02-25 21:47:30+00:00;0 days 03:41:00;slice(Timestamp('2019-02-25 18:06:30+0000', tz='UTC'), Timestamp('2019-02-25 21:47:30+0000', tz='UTC'), None);1;0
2019-02-25 21:50:30+00:00;2019-02-25 23:19:30+00:00;0 days 01:29:00;slice(Timestamp('2019-02-25 21:50:30+0000', tz='UTC'), Timestamp('2019-02-25 23:19:30+0000', tz='UTC'), None);1;0
2019-02-26 18:52:00+00:00;2019-02-26 23:01:00+00:00;0 days 04:09:00;slice(Timestamp('2019-02-26 18:52:00+0000', tz='UTC'), Timestamp('2019-02-26 23:01:00+0000', tz='UTC'), None);1;0
2019-02-27 11:36:30+00:00;2019-02-27 11:37:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-27 11:36:30+0000', tz='UTC'), Timestamp('2019-02-27 11:37:30+0000', tz='UTC'), None);0;2
2019-02-27 12:28:00+00:00;2019-02-27 14:43:30+00:00;0 days 02:15:30;slice(Timestamp('2019-02-27 12:28:00+0000', tz='UTC'), Timestamp('2019-02-27 14:43:30+0000', tz='UTC'), None);1;1
2019-02-27 16:09:30+00:00;2019-02-27 16:10:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-27 16:09:30+0000', tz='UTC'), Timestamp('2019-02-27 16:10:30+0000', tz='UTC'), None);0;2
2019-02-27 16:41:00+00:00;2019-02-27 16:42:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-27 16:41:00+0000', tz='UTC'), Timestamp('2019-02-27 16:42:00+0000', tz='UTC'), None);0;2
2019-02-27 17:11:30+00:00;2019-02-27 17:42:30+00:00;0 days 00:31:00;slice(Timestamp('2019-02-27 17:11:30+0000', tz='UTC'), Timestamp('2019-02-27 17:42:30+0000', tz='UTC'), None);1;3
2019-02-27 18:06:00+00:00;2019-02-27 23:03:00+00:00;0 days 04:57:00;slice(Timestamp('2019-02-27 18:06:00+0000', tz='UTC'), Timestamp('2019-02-27 23:03:00+0000', tz='UTC'), None);1;0
2019-02-28 00:03:00+00:00;2019-02-28 00:04:00+00:00;0 days 00:01:00;slice(Timestamp('2019-02-28 00:03:00+0000', tz='UTC'), Timestamp('2019-02-28 00:04:00+0000', tz='UTC'), None);0;2
2019-02-28 12:02:00+00:00;2019-02-28 13:46:30+00:00;0 days 01:44:30;slice(Timestamp('2019-02-28 12:02:00+0000', tz='UTC'), Timestamp('2019-02-28 13:46:30+0000', tz='UTC'), None);1;0
2019-02-28 18:11:00+00:00;2019-02-28 21:57:30+00:00;0 days 03:46:30;slice(Timestamp('2019-02-28 18:11:00+0000', tz='UTC'), Timestamp('2019-02-28 21:57:30+0000', tz='UTC'), None);1;0
2019-03-01 00:00:00+00:00;2019-03-01 00:00:00+00:00;0 days 00:00:00;slice(Timestamp('2019-02-24 22:30:00+0000', tz='UTC'), Timestamp('2019-02-24 22:32:00+0000', tz='UTC'), None);1;1
