first_min_on;last_min_on;timedelta_on;slice;ALG_catch24_kmeans_4;ALG_catch24_kmeans_2
2019-02-13 13:29:30+00:00;2019-02-13 21:41:00+00:00;0 days 08:11:30;slice(Timestamp('2019-02-13 13:29:30+0000', tz='UTC'), Timestamp('2019-02-13 21:41:00+0000', tz='UTC'), None);0;1
2019-02-14 13:45:30+00:00;2019-02-14 22:21:30+00:00;0 days 08:36:00;slice(Timestamp('2019-02-14 12:45:30+0000', tz='UTC'), Timestamp('2019-02-14 22:21:30+0000', tz='UTC'), None);0;1
2019-02-15 13:36:00+00:00;2019-02-15 22:22:00+00:00;0 days 08:46:00;slice(Timestamp('2019-02-15 13:36:00+0000', tz='UTC'), Timestamp('2019-02-15 22:22:00+0000', tz='UTC'), None);0;1
2019-02-16 13:53:30+00:00;2019-02-16 22:33:30+00:00;0 days 08:40:00;slice(Timestamp('2019-02-16 13:53:30+0000', tz='UTC'), Timestamp('2019-02-16 22:33:30+0000', tz='UTC'), None);0;1
2019-02-17 13:12:00+00:00;2019-02-17 21:26:00+00:00;0 days 08:14:00;slice(Timestamp('2019-02-17 13:12:00+0000', tz='UTC'), Timestamp('2019-02-17 21:26:00+0000', tz='UTC'), None);0;1
2019-02-18 11:46:30+00:00;2019-02-18 14:58:00+00:00;0 days 03:11:30;slice(Timestamp('2019-02-18 11:46:30+0000', tz='UTC'), Timestamp('2019-02-18 14:58:00+0000', tz='UTC'), None);0;1
2019-02-18 18:07:00+00:00;2019-02-18 21:48:00+00:00;0 days 03:41:00;slice(Timestamp('2019-02-18 18:07:00+0000', tz='UTC'), Timestamp('2019-02-18 21:48:00+0000', tz='UTC'), None);0;1
2019-02-19 18:56:30+00:00;2019-02-19 21:48:00+00:00;0 days 02:51:30;slice(Timestamp('2019-02-19 18:56:30+0000', tz='UTC'), Timestamp('2019-02-19 21:48:00+0000', tz='UTC'), None);0;1
2019-02-20 18:12:00+00:00;2019-02-20 21:43:30+00:00;0 days 03:31:30;slice(Timestamp('2019-02-20 18:12:00+0000', tz='UTC'), Timestamp('2019-02-20 21:43:30+0000', tz='UTC'), None);0;1
2019-02-21 11:23:00+00:00;2019-02-21 21:36:00+00:00;0 days 10:13:00;slice(Timestamp('2019-02-21 11:23:00+0000', tz='UTC'), Timestamp('2019-02-21 21:36:00+0000', tz='UTC'), None);0;1
2019-02-22 13:34:00+00:00;2019-02-22 21:17:30+00:00;0 days 07:43:30;slice(Timestamp('2019-02-22 13:34:00+0000', tz='UTC'), Timestamp('2019-02-22 21:17:30+0000', tz='UTC'), None);0;1
2019-02-23 08:11:00+00:00;2019-02-23 08:14:30+00:00;0 days 00:03:30;slice(Timestamp('2019-02-23 08:11:00+0000', tz='UTC'), Timestamp('2019-02-23 08:14:30+0000', tz='UTC'), None);1;0
2019-02-23 11:17:30+00:00;2019-02-23 21:19:00+00:00;0 days 10:01:30;slice(Timestamp('2019-02-23 11:17:30+0000', tz='UTC'), Timestamp('2019-02-23 21:19:00+0000', tz='UTC'), None);0;1
2019-02-23 23:23:30+00:00;2019-02-23 23:24:30+00:00;0 days 00:01:00;slice(Timestamp('2019-02-23 23:23:30+0000', tz='UTC'), Timestamp('2019-02-23 23:24:30+0000', tz='UTC'), None);2;0
2019-02-24 11:32:00+00:00;2019-02-24 21:43:30+00:00;0 days 10:11:30;slice(Timestamp('2019-02-24 11:32:00+0000', tz='UTC'), Timestamp('2019-02-24 21:43:30+0000', tz='UTC'), None);0;1
2019-02-25 11:08:30+00:00;2019-02-25 15:12:00+00:00;0 days 04:03:30;slice(Timestamp('2019-02-25 11:08:30+0000', tz='UTC'), Timestamp('2019-02-25 15:12:00+0000', tz='UTC'), None);0;1
2019-02-25 18:06:30+00:00;2019-02-25 21:41:00+00:00;0 days 03:34:30;slice(Timestamp('2019-02-25 18:06:30+0000', tz='UTC'), Timestamp('2019-02-25 21:41:00+0000', tz='UTC'), None);0;1
2019-02-26 11:39:00+00:00;2019-02-26 22:15:00+00:00;0 days 10:36:00;slice(Timestamp('2019-02-26 11:39:00+0000', tz='UTC'), Timestamp('2019-02-26 22:15:00+0000', tz='UTC'), None);0;1
2019-02-27 11:49:30+00:00;2019-02-27 22:19:00+00:00;0 days 10:29:30;slice(Timestamp('2019-02-27 11:49:30+0000', tz='UTC'), Timestamp('2019-02-27 22:19:00+0000', tz='UTC'), None);3;1
2019-02-28 18:08:30+00:00;2019-02-28 21:21:00+00:00;0 days 03:12:30;slice(Timestamp('2019-02-28 18:08:30+0000', tz='UTC'), Timestamp('2019-02-28 21:21:00+0000', tz='UTC'), None);0;1
2019-03-01 09:47:30+00:00;2019-03-01 09:53:30+00:00;0 days 00:06:00;slice(Timestamp('2019-03-01 09:47:30+0000', tz='UTC'), Timestamp('2019-03-01 09:53:30+0000', tz='UTC'), None);1;0
2019-03-02 00:00:00+00:00;2019-03-02 00:00:00+00:00;0 days 00:00:00;slice(Timestamp('2019-02-24 22:30:00+0000', tz='UTC'), Timestamp('2019-02-24 22:32:00+0000', tz='UTC'), None);1;1
